0,40,40,40,40,15,7,7,7,7,41,40,40,40,40,15,7,7,7,9,40,41,41,41,42,12,12,12,12,18,41,41,41,41,42,12,12,12,12,17
40,0,37,37,37,7,1,1,1,1,39,37,37,37,37,7,1,1,1,2,37,37,37,37,38,1,1,1,1,5,37,37,37,37,38,1,1,1,1,3
40,37,0,37,37,7,1,1,1,1,39,37,37,37,37,7,1,1,1,2,37,37,37,37,38,1,1,1,1,5,37,37,37,37,38,1,1,1,1,3
40,37,37,0,37,7,1,1,1,1,39,37,37,37,37,7,1,1,1,2,37,37,37,37,38,1,1,1,1,5,37,37,37,37,38,1,1,1,1,3
40,37,37,37,0,7,1,1,1,1,39,37,37,37,37,7,1,1,1,2,37,37,37,37,38,1,1,1,1,5,37,37,37,37,38,1,1,1,1,3
15,7,7,7,7,0,39,39,39,39,12,7,7,7,7,39,39,39,39,36,14,14,14,14,20,39,39,39,39,38,14,14,14,14,19,39,39,39,39,37
7,1,1,1,1,39,0,37,37,37,3,1,1,1,1,39,37,37,37,34,1,1,1,1,5,37,37,37,37,34,1,1,1,1,3,37,37,37,37,35
7,1,1,1,1,39,37,0,37,37,3,1,1,1,1,39,37,37,37,34,1,1,1,1,5,37,37,37,37,34,1,1,1,1,3,37,37,37,37,35
7,1,1,1,1,39,37,37,0,37,3,1,1,1,1,39,37,37,37,34,1,1,1,1,5,37,37,37,37,34,1,1,1,1,3,37,37,37,37,35
7,1,1,1,1,39,37,37,37,0,3,1,1,1,1,39,37,37,37,34,1,1,1,1,5,37,37,37,37,34,1,1,1,1,3,37,37,37,37,35
41,39,39,39,39,12,3,3,3,3,0,39,39,39,39,18,10,10,10,13,31,33,33,33,32,3,3,3,3,6,36,36,36,36,38,17,17,17,17,23
40,37,37,37,37,7,1,1,1,1,39,0,37,37,37,7,1,1,1,4,37,37,37,37,36,1,1,1,1,2,37,37,37,37,38,1,1,1,1,5
40,37,37,37,37,7,1,1,1,1,39,37,0,37,37,7,1,1,1,4,37,37,37,37,36,1,1,1,1,2,37,37,37,37,38,1,1,1,1,5
40,37,37,37,37,7,1,1,1,1,39,37,37,0,37,7,1,1,1,4,37,37,37,37,36,1,1,1,1,2,37,37,37,37,38,1,1,1,1,5
40,37,37,37,37,7,1,1,1,1,39,37,37,37,0,7,1,1,1,4,37,37,37,37,36,1,1,1,1,2,37,37,37,37,38,1,1,1,1,5
15,7,7,7,7,39,39,39,39,39,18,7,7,7,7,0,39,39,39,33,7,7,7,7,8,36,36,36,36,36,16,16,16,16,22,39,39,39,39,35
7,1,1,1,1,39,37,37,37,37,10,1,1,1,1,39,0,37,37,31,1,1,1,1,2,37,37,37,37,36,1,1,1,1,3,37,37,37,37,32
7,1,1,1,1,39,37,37,37,37,10,1,1,1,1,39,37,0,37,31,1,1,1,1,2,37,37,37,37,36,1,1,1,1,3,37,37,37,37,32
7,1,1,1,1,39,37,37,37,37,10,1,1,1,1,39,37,37,0,31,1,1,1,1,2,37,37,37,37,36,1,1,1,1,3,37,37,37,37,32
9,2,2,2,2,36,34,34,34,34,13,4,4,4,4,33,31,31,31,0,1,1,1,1,2,37,37,37,37,36,1,1,1,1,3,37,37,37,37,32
40,37,37,37,37,14,1,1,1,1,31,37,37,37,37,7,1,1,1,1,0,29,29,29,31,21,21,21,21,27,34,34,34,34,37,16,16,16,16,25
41,37,37,37,37,14,1,1,1,1,33,37,37,37,37,7,1,1,1,1,29,0,37,37,39,1,1,1,1,13,37,37,37,37,39,1,1,1,1,11
41,37,37,37,37,14,1,1,1,1,33,37,37,37,37,7,1,1,1,1,29,37,0,37,39,1,1,1,1,13,37,37,37,37,39,1,1,1,1,11
41,37,37,37,37,14,1,1,1,1,33,37,37,37,37,7,1,1,1,1,29,37,37,0,39,1,1,1,1,13,37,37,37,37,39,1,1,1,1,11
42,38,38,38,38,20,5,5,5,5,32,36,36,36,36,8,2,2,2,2,31,39,39,39,0,1,1,1,1,13,37,37,37,37,39,1,1,1,1,11
